Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Search_Items,Chrome 121.0.0.0,,,11-02-2024 14:37:36,11-02-2024 14:40:03,2m - 26.962s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Home_Search_Items_003,Chrome 121.0.0.0,,,11-02-2024 14:37:36,11-02-2024 14:40:03,2m - 26.692s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,11-02-2024 14:37:36,11-02-2024 14:37:40,3.649s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,11-02-2024 14:37:40,11-02-2024 14:37:42,1.606s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,11-02-2024 14:37:42,11-02-2024 14:37:43,1.508s,PASSED
"click(findTestObject(""Object Repository/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,11-02-2024 14:37:43,11-02-2024 14:38:16,32.396s,PASSED
"setText(findTestObject(""Object Repository/Page_Amazon Sign In/input_email""), ""8240029491"")",Chrome 121.0.0.0,,,11-02-2024 14:38:16,11-02-2024 14:39:19,1m - 2.958s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign In/inputcontinue""))",Chrome 121.0.0.0,,,11-02-2024 14:39:19,11-02-2024 14:39:20,1.054s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Amazon Sign In/input_password""), ""5/jcUxQCiK4EYWKojWkF+g=="")",Chrome 121.0.0.0,,,11-02-2024 14:39:20,11-02-2024 14:39:51,31.457s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign In/inputsignInSubmit""))",Chrome 121.0.0.0,,,11-02-2024 14:39:51,11-02-2024 14:39:51,0.332s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Online Shopping site in India Shop Onl_10c5f3/select_All Categories        Alexa Skills  _a62561""), ""search-alias=stripbooks"", true)",Chrome 121.0.0.0,,,11-02-2024 14:39:51,11-02-2024 14:39:58,6.121s,PASSED
"setText(findTestObject(""Object Repository/Page_Online Shopping site in India Shop Onl_10c5f3/input_field-keywords""), ""will"")",Chrome 121.0.0.0,,,11-02-2024 14:39:58,11-02-2024 14:39:59,1.069s,PASSED
"click(findTestObject(""Object Repository/Page_Online Shopping site in India Shop Onl_10c5f3/span_iam shakespeare books""))",Chrome 121.0.0.0,,,11-02-2024 14:39:59,11-02-2024 14:40:03,3.910s,PASSED
"switchToWindowTitle(""Amazon.in : william shakespeare books"")",Chrome 121.0.0.0,,,11-02-2024 14:40:03,11-02-2024 14:40:03,0.046s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,11-02-2024 14:40:03,11-02-2024 14:40:03,0.397s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,11-02-2024 14:40:03,11-02-2024 14:40:03,0.006s,PASSED
