Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_TestSuite_Login,Chrome 121.0.0.0,,,08-02-2024 14:41:56,08-02-2024 14:42:16,19.954s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Home_Login-001,Chrome 121.0.0.0,,,08-02-2024 14:41:56,08-02-2024 14:42:16,19.687s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,08-02-2024 14:41:57,08-02-2024 14:41:59,2.464s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,08-02-2024 14:41:59,08-02-2024 14:42:03,3.198s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,08-02-2024 14:42:03,08-02-2024 14:42:06,3.578s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_email""), username)",Chrome 121.0.0.0,,,08-02-2024 14:42:06,08-02-2024 14:42:08,2.206s,PASSED
"click(findTestObject(""Amazon_OR/Page_Amazon Sign In/input_email""))",Chrome 121.0.0.0,,,08-02-2024 14:42:08,08-02-2024 14:42:09,0.376s,PASSED
"setText(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/input_password""), Password)",Chrome 121.0.0.0,,,08-02-2024 14:42:09,08-02-2024 14:42:15,6.615s,PASSED
"click(findTestObject(""Object Repository/Amazon_OR/Page_Amazon Sign In/inputsignInSubmit""))",Chrome 121.0.0.0,,,08-02-2024 14:42:15,08-02-2024 14:42:16,0.442s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,08-02-2024 14:42:16,08-02-2024 14:42:16,0.321s,PASSED
